pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
NGTS-31 b,NGTS-31,2025,4.162734 d,18.04645893 earthRad,355.96781584 earthMass,2459039.1615 d,5710.0 K
TOI-6695 b,TOI-6695,2025,80.389 d,9.52763359 earthRad,66.74396547 earthMass,2459249.547139 d,6400.0 K
TOI-1203 e,TOI-1203,2025,204.59 d,7.31 earthRad,42.1 earthMass,2458915.45 d,5737.0 K
ZTF J1230-2655 b,ZTF J1230-2655,2025,0.23597766 d,13.78704626 earthRad,7024.0077947 earthMass,2460432.5478805 d,10000.0 K
KOI-134 b,KOI-134,2025,67.1277 d,12.03844527 earthRad,346.43296363 earthMass,2454984.727745 d,6160.0 K
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,2025,nan d,13.9 earthRad,254.2627256 earthMass,nan d,nan K
GJ 2126 b,GJ 2126,2025,272.7 d,13.6 earthRad,413.1769291 earthMass,nan d,4159.0 K
HD 101581 b,HIP 56998,2025,4.46569 d,0.956 earthRad,0.827 earthMass,2460014.8496 d,4675.0 K
TOI-2322 c,TOI-2322,2025,20.225528 d,1.874 earthRad,18.1 earthMass,2459037.4161 d,4664.0 K
HIP 41378 g,HIP 41378,2025,62.06 d,2.54 earthRad,7.0 earthMass,nan d,6320.0 K
Proxima Cen d,Proxima Cen,2025,5.12338 d,0.692 earthRad,0.26 earthMass,nan d,2900.0 K
TOI-5592 b,TOI-5592,2025,2.6085846 d,17.14974047 earthRad,285.72773789 earthMass,2459794.01216 d,6237.0 K
TOI-2969 b,TOI-2969,2025,1.8237146 d,12.32987877 earthRad,368.68095212 earthMass,2459303.30015 d,4738.0 K
HD 35843 b,HD 35843,2025,9.8991 d,2.29 earthRad,5.84 earthMass,2459889.691 d,5666.0 K
TOI-4961 b,TOI-4961,2025,7.479182 d,12.34108775 earthRad,572.0911326 earthMass,2459884.82079 d,5380.0 K
TOI-1203 c,TOI-1203,2025,13.0766 d,2.2 earthRad,5.46 earthMass,2459198.81 d,5737.0 K
TOI-5800 b,TOI-5800,2025,2.6278838 d,2.46 earthRad,9.5 earthMass,2459771.7145 d,4850.0 K
TIC 88785435 b,TIC 88785435,2025,10.508843 d,5.03 earthRad,22.3 earthMass,2458609.2369 d,3998.0 K
Ross 176 b,Ross 176,2025,5.0066338 d,1.84 earthRad,4.57 earthMass,2459829.7627 d,4041.0 K
K2-73 c,K2-73,2025,1000.0 d,13.0 earthRad,1142.0 earthMass,2456905.0 d,5867.0 K
KMT-2022-BLG-1790L b,KMT-2022-BLG-1790L,2025,nan d,13.5 earthRad,549.84314411 earthMass,nan d,nan K
HD 35843 c,HD 35843,2025,46.9622 d,2.54 earthRad,11.32 earthMass,2459221.7562 d,5666.0 K
KMT-2022-BLG-2076L b,KMT-2022-BLG-2076L,2025,nan d,13.9 earthRad,279.68899816 earthMass,nan d,nan K
TOI-4465 b,TOI-4465,2025,101.94054 d,14.01122587 earthRad,1872.00931723 earthMass,2459395.1256 d,5545.0 K
WASP-149 b,WASP-149,2025,1.332813 d,15.24421375 earthRad,314.96795134 earthMass,2457757.6245 d,5750.0 K
GJ 9773 b,GJ 9773,2025,2965.0 d,14.2 earthRad,172.580825 earthMass,2459362.0 d,3528.0 K
TOI-6330 b,TOI-6330,2025,6.8500246 d,10.89 earthRad,3179.0 earthMass,2459901.36114 d,3539.0 K
TOI-771 c,TOI-771,2025,7.61 d,1.5 earthRad,2.87 earthMass,nan d,3370.0 K
TOI-4364 b,TOI-4364,2025,5.424019 d,2.01 earthRad,4.7 earthMass,2458439.3428 d,3528.0 K
TOI-4487 A b,TOI-4487 A,2025,3.9540709 d,14.60530185 earthRad,397.28550875 earthMass,2460079.02001 d,6206.0 K
TOI-1346 b,TOI-1346,2025,1.7622538 d,2.39 earthRad,6.3 earthMass,2459978.0239 d,5099.0 K
TOI-2005 b,TOI-2005,2025,17.305904 d,11.99360935 earthRad,2034.1018048 earthMass,2458549.8376 d,7130.0 K
TOI-5882 b,TOI-5882,2025,7.148972 d,11.46678726 earthRad,6995.40323807 earthMass,2459768.8621 d,5920.0 K
KOI-134 c,KOI-134,2025,33.95 d,9.86 earthRad,69.92224954 earthMass,nan d,6160.0 K
KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,2025,nan d,4.19 earthRad,16.35 earthMass,nan d,nan K
KOBE-1 c,KOBE-1,2025,29.671 d,3.56 earthRad,12.4 earthMass,2459448.2 d,4135.0 K
TOI-6420 b,TOI-6420,2025,6.961508 d,11.93756445 earthRad,2606.1929374 earthMass,2459909.2703 d,6020.0 K
HD 28471 d,HD 28471,2025,11.681 d,2.06 earthRad,4.91 earthMass,2452945.806 d,5766.0 K
KOBE-1 b,KOBE-1,2025,8.5399 d,2.91 earthRad,8.8 earthMass,2459484.26 d,4135.0 K
HD 196067 c,HD 196067,2025,4.601088 d,3.21 earthRad,10.4 earthMass,nan d,6072.0 K
Gl 725 A b,Gl 725 A,2025,11.2201 d,1.48 earthRad,2.78 earthMass,nan d,3433.0 K
GJ 536 c,GJ 536,2025,32.761 d,2.3 earthRad,5.89 earthMass,2460547.35 d,3641.0 K
K2-157 c,K2-157,2025,25.942 d,6.08 earthRad,30.8 earthMass,2458557.02 d,5334.0 K
TOI-3856 b,TOI-3856,2025,2.04360352 d,13.59649359 earthRad,171.62733978 earthMass,2459574.66334 d,5622.0 K
Gaia-5 b,Gaia-5,2025,358.62 d,12.1 earthRad,6633.07885409 earthMass,nan d,3447.0 K
KMT-2024-BLG-0404L b,KMT-2024-BLG-0404L,2025,nan d,11.9 earthRad,8657.64580668 earthMass,nan d,nan K
WASP-194 b,WASP-194,2025,3.183387 d,15.47960235 earthRad,373.13054982 earthMass,2457449.0511 d,6405.0 K
MOA-2022-BLG-033L b,MOA-2022-BLG-033L,2025,nan d,3.52 earthRad,12.15 earthMass,nan d,nan K
TOI-1117 d,TOI-1117,2025,8.665 d,3.27 earthRad,10.71 earthMass,nan d,5635.0 K
TOI-3464 b,TOI-3464,2025,3.6515568 d,13.7646283 earthRad,397.28550875 earthMass,2459703.56516 d,6370.0 K
TOI-3486 b,TOI-3486,2025,2.21778105 d,10.5700688 earthRad,99.16246298 earthMass,2459797.24218 d,4930.0 K
TOI-3593 b,TOI-3593,2025,3.8212867 d,11.02963701 earthRad,565.73456446 earthMass,2460055.72703 d,5550.0 K
OGLE-2016-BLG-0007L b,OGLE-2016-BLG-0007L,2025,14200.0 d,1.09 earthRad,1.32 earthMass,nan d,nan K
BEBOP-3 b,BEBOP-3,2025,547.0 d,14.2 earthRad,177.34825111 earthMass,nan d,6033.0 K
Kepler-725 c,Kepler-725,2025,207.541 d,3.08 earthRad,9.7 earthMass,nan d,5395.0 K
TOI-6109 c,TOI-6109,2025,8.538878 d,4.8326 earthRad,20.8 earthMass,2458798.0657 d,5660.0 K
HD 224018 c,HD 224018,2025,36.57669 d,2.42 earthRad,10.4 earthMass,2457778.1544 d,5784.0 K
TOI-6695 c,TOI-6695,2025,242.4 d,13.6 earthRad,460.85119015 earthMass,nan d,6400.0 K
Gaia-4 b,Gaia-4,2025,571.3 d,12.4 earthRad,3750.3752026 earthMass,nan d,4034.0 K
TOI-1438 c,TOI-1438,2025,9.428089 d,2.75 earthRad,10.6 earthMass,2458689.9136 d,5230.0 K
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,2025,nan d,13.7 earthRad,381.3940884 earthMass,nan d,nan K
TOI-3523 A b,TOI-3523 A,2025,2.30458952 d,15.9727975 earthRad,435.42491759 earthMass,2460417.45562 d,6450.0 K
TOI-2382 b,TOI-2382,2025,4.6612061 d,12.25141591 earthRad,235.19302118 earthMass,2459215.4585 d,6033.0 K
TOI-1453 c,TOI-1453,2025,6.5886982 d,2.224 earthRad,2.95 earthMass,2459395.38133 d,4975.0 K
TOI-7149 b,TOI-7149,2025,2.65206166 d,13.2 earthRad,224.0 earthMass,2459703.59605 d,3363.0 K
OGLE-2015-BLG-1609L b,OGLE-2015-BLG-1609L,2025,nan d,10.4 earthRad,76.27881768 earthMass,nan d,nan K
TOI-3493 b,TOI-3493,2025,8.1594667 d,3.22 earthRad,8.97 earthMass,2459313.0467455 d,5844.0 K
TOI-6478 b,TOI-6478,2025,34.005019 d,4.6 earthRad,19.2 earthMass,2459454.90101 d,3230.0 K
TOI-3837 b,TOI-3837,2025,11.88865 d,10.87271128 earthRad,187.51876013 earthMass,2458876.2853 d,5905.0 K
TOI-4734 b,TOI-4734,2025,6.235633 d,10.9175472 earthRad,61.65871096 earthMass,2459710.23803 d,6070.0 K
TOI-2886 b,TOI-2886,2025,1.60200105 d,18.6405349 earthRad,444.9597698 earthMass,2459311.01449 d,6240.0 K
TOI-6894 b,TOI-6894,2025,3.37077196 d,9.5836785 earthRad,53.39517238 earthMass,2460313.41167 d,3007.0 K
G 192-15 b,G 192-15,2025,2.27476 d,1.02 earthRad,1.03 earthMass,2457851.82 d,2999.0 K
TOI-2031 A b,TOI-2031 A,2025,5.71548654 d,14.20177855 earthRad,254.2627256 earthMass,2459806.029135 d,6490.0 K
TOI-2015 c,TOI-2015,2025,5.582796 d,2.93 earthRad,8.91 earthMass,nan d,3297.0 K
HD 87816 c,HD 87816,2025,7596.0 d,12.4 earthRad,3877.5065654 earthMass,nan d,4989.0 K
Barnard c,Barnard's star,2025,4.1244 d,0.743 earthRad,0.335 earthMass,nan d,3195.0 K
TOI-6303 b,TOI-6303,2025,9.485236 d,11.59 earthRad,2493.0 earthMass,2459901.0144 d,3977.0 K
TOI-6223 b,TOI-6223,2025,3.855219 d,5.07 earthRad,22.6 earthMass,2459856.48875 d,3895.0 K
TOI-2141 d,TOI-2141,2025,60.45 d,3.97 earthRad,14.9 earthMass,2458940.5 d,5635.0 K
TOI-5350 b,TOI-5350,2025,7.581367 d,12.41955062 earthRad,2094.48920213 earthMass,2459611.65813 d,6220.0 K
HD 86728 b,HD 86728,2025,31.1515 d,3.03 earthRad,9.43 earthMass,2459260.69 d,5610.0 K
TOI-4155 b,TOI-4155,2025,3.320729 d,3.21 earthRad,10.4 earthMass,2459803.9384 d,5724.0 K
TOI-2093 b,TOI-2093,2025,12.836 d,3.25 earthRad,10.6 earthMass,2459320.53 d,4426.0 K
WASP-195 b,WASP-195,2025,5.051928 d,10.31226224 earthRad,33.05415433 earthMass,2457357.23855 d,6300.0 K
TOI-3474 b,TOI-3474,2025,3.8795105 d,14.67255574 earthRad,193.87532827 earthMass,2459789.28867 d,6020.0 K
TOI-2076 e,TOI-2076,2025,3.0223445 d,1.355 earthRad,2.4 earthMass,2458740.21306 d,5192.0 K
TOI-5786 b,TOI-5786,2025,12.779107 d,8.54 earthRad,73.0 earthMass,2460140.6139 d,6235.0 K
ZTF J1828+2308 b,ZTF J1828+2308,2025,0.1120067 d,11.13051784 earthRad,6356.56814 earthMass,2460431.6494044 d,15900.0 K
TOI-1117 c,TOI-1117,2025,4.579 d,2.91 earthRad,8.78 earthMass,nan d,5635.0 K
TOI-512 b,TOI-512,2025,7.18886 d,1.54 earthRad,3.57 earthMass,2458471.212 d,5277.0 K
55 Cnc B b,55 Cnc B,2025,6.7994 d,1.69 earthRad,3.5 earthMass,2455495.7 d,3286.0 K
Gl 410 b,Gl 410,2025,6.02 d,2.83 earthRad,8.4 earthMass,nan d,3842.0 K
HD 28471 c,HD 28471,2025,6.1245 d,2.26 earthRad,5.72 earthMass,2452945.806 d,5766.0 K
HD 94890 c,HD 94890,2025,2492.19 d,12.5 earthRad,2831.85110637 earthMass,nan d,4867.0 K
TOI-1743 b,TOI-1743,2025,4.266046 d,1.83 earthRad,4.01 earthMass,2459575.1723 d,3277.0 K
HD 135344 A b,HD 135344 A,2025,nan d,16.25302201 earthRad,3178.28407 earthMass,nan d,9540.0 K
TOI-2989 b,TOI-2989,2025,3.122832 d,12.55405838 earthRad,953.485221 earthMass,2459302.2242 d,4672.0 K
WASP-102 b,WASP-102,2025,2.709813 d,14.90794433 earthRad,197.68926915 earthMass,2457109.45577 d,5990.0 K
WISPIT 1 b,WISPIT 1,2025,nan d,12.4 earthRad,3305.4154328 earthMass,nan d,4670.0 K
TOI-5340 b,TOI-5340,2025,4.9394392 d,15.07607904 earthRad,270.15414595 earthMass,2459712.57912 d,5990.0 K
TOI-880 c,TOI-880,2025,6.3872703 d,4.95 earthRad,21.7 earthMass,2459403.67511 d,5050.0 K
TOI-5799 c,TOI-5799,2025,14.010449 d,1.76 earthRad,3.75 earthMass,2460383.0352 d,3452.0 K
HD 73344 c,HD 73344,2025,65.94 d,13.5 earthRad,118.54999581 earthMass,2455482.98 d,6148.0 K
AT2021ueyL b,AT2021ueyL,2025,4168.69 d,13.6 earthRad,425.89006538 earthMass,nan d,3680.0 K
TOI-5322 b,TOI-5322,2025,5.4233207 d,16.6117094 earthRad,184.02264765 earthMass,2460035.27909 d,5692.0 K
HD 20794 f,HD 20794,2025,647.6 d,2.28 earthRad,5.82 earthMass,2459933.0 d,5368.0 K
TOI-2328 b,TOI-2328,2025,17.10197 d,9.97599282 earthRad,50.85254512 earthMass,2458330.4894 d,5525.0 K
HD 87816 b,HD 87816,2025,484.17 d,12.7 earthRad,2142.16346318 earthMass,nan d,4989.0 K
G 192-15 c,G 192-15,2025,1219.0 d,3.87 earthRad,14.3 earthMass,2458813.0 d,2999.0 K
TOI-5386 A b,TOI-5386 A,2025,3.62156552 d,14.70618268 earthRad,155.10026262 earthMass,2459621.28242 d,6094.0 K
TOI-2449 b,TOI-2449,2025,106.14468 d,11.24 earthRad,222.0 earthMass,2459153.5934 d,6021.0 K
TOI-1203 b,TOI-1203,2025,4.1572888 d,1.52 earthRad,3.51 earthMass,2458545.8916 d,5737.0 K
TOI-1203 d,TOI-1203,2025,25.502672 d,2.918 earthRad,7.39 earthMass,2458553.0711 d,5737.0 K
WASP-154 b,WASP-154,2025,3.811678 d,10.76062147 earthRad,198.96058278 earthMass,2459465.89195 d,4774.0 K
TOI-6324 b,TOI-6324,2025,0.279221 d,1.059 earthRad,1.17 earthMass,2458739.97928 d,3247.0 K
TOI-5300 b,TOI-5300,2025,2.262196 d,9.86390302 earthRad,190.6970442 earthMass,2459470.4174 d,4610.0 K
TOI-4794 b,TOI-4794,2025,3.5658116 d,14.35870428 earthRad,308.29355479 earthMass,2458889.6895 d,6390.0 K
AU Mic e,AU Mic,2025,33.11 d,4.87 earthRad,21.1 earthMass,2459118.5 d,3665.0 K
TOI-1346 c,TOI-1346,2025,5.502558 d,2.23 earthRad,5.6 earthMass,2459771.72743 d,5099.0 K
WISPIT 1 c,WISPIT 1,2025,nan d,12.8 earthRad,1684.4905571 earthMass,nan d,4670.0 K
WASP-188 b,WASP-188,2025,5.748916 d,14.81827249 earthRad,458.6263913 earthMass,2457033.12141 d,6850.0 K
TOI-2992 b,TOI-2992,2025,3.007812 d,13.75341932 earthRad,1058.36859531 earthMass,2459503.55851 d,6000.0 K
Barnard d,Barnard's star,2025,2.3402 d,0.694 earthRad,0.263 earthMass,nan d,3195.0 K
TOI-5210 b,TOI-5210,2025,4.5661061 d,10.72699453 earthRad,81.99972901 earthMass,2459854.90873 d,5723.0 K
HD 94890 b,HD 94890,2025,824.61 d,13.3 earthRad,676.97450691 earthMass,nan d,4867.0 K
TOI-2719 b,TOI-2719,2025,3.37594 d,5.98 earthRad,29.9 earthMass,2459882.955 d,5762.0 K
GJ 3998 d,GJ 3998,2025,41.78 d,2.34 earthRad,6.07 earthMass,2460170.55 d,3726.0 K
TOI-6628 b,TOI-6628,2025,18.18424 d,10.98480109 earthRad,235.19302118 earthMass,2458602.721 d,5463.0 K
TOI-2093 c,TOI-2093,2025,53.81149 d,2.3 earthRad,15.8 earthMass,2458751.6122 d,4426.0 K
WASP-116 b,WASP-116,2025,6.6132 d,13.67495645 earthRad,203.41018048 earthMass,2457092.22528 d,6250.0 K
TOI-2169 A b,TOI-2169 A,2025,8.2148282 d,12.50922246 earthRad,329.58805806 earthMass,2459732.67384 d,6270.0 K
TOI-6038 A b,TOI-6038 A,2025,5.8267311 d,6.41 earthRad,78.5 earthMass,2459883.058 d,6110.0 K
TOI-1117 b,TOI-1117,2025,2.22816 d,2.46 earthRad,8.9 earthMass,2459386.964 d,5635.0 K
TOI-2322 b,TOI-2322,2025,11.30717 d,0.994 earthRad,2.31 earthMass,2460160.4469 d,4664.0 K
TOI-2345 c,TOI-2345,2025,21.064302 d,2.451 earthRad,7.27 earthMass,2459120.3007 d,4687.0 K
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,2025,nan d,4.86 earthRad,21.0 earthMass,nan d,nan K
TOI-5573 b,TOI-5573,2025,8.79758977 d,9.75 earthRad,112.0 earthMass,2459600.45078 d,3790.0 K
TOI-1803 b,TOI-1803,2025,6.293287 d,2.99 earthRad,10.32 earthMass,2458904.6237 d,4687.0 K
TOI-1453 b,TOI-1453,2025,4.3135225 d,1.173 earthRad,2.32 earthMass,2459392.90013 d,4975.0 K
WASP-197 b,WASP-197,2025,5.167228 d,14.44837612 earthRad,403.32424848 earthMass,2456885.10428 d,6050.0 K
TOI-283 b,TOI-283,2025,17.61745 d,2.34 earthRad,6.54 earthMass,2459549.0822 d,5213.0 K
TOI-756 b,TOI-756,2025,1.2392495 d,2.81 earthRad,9.83 earthMass,2458570.65234 d,3657.0 K
TOI-756 c,TOI-756,2025,149.4 d,13.0 earthRad,1287.20504835 earthMass,2460498.882 d,3657.0 K
HIP 18606 b,HIP 18606,2025,674.94 d,14.0 earthRad,244.72787339 earthMass,nan d,4860.0 K
HIP 111909 b,HIP 111909,2025,487.08 d,13.7 earthRad,384.57237247 earthMass,nan d,4891.0 K
HIP 111909 c,HIP 111909,2025,893.63 d,13.9 earthRad,257.44100967 earthMass,nan d,4891.0 K
KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,2025,nan d,4.33 earthRad,17.3 earthMass,nan d,nan K
