objid,ra,dec,z,class
1237665128530772113,149.651465188997,29.8435941863751,0.08900111,GALAXY
1237665098466590858,149.832830319713,30.178477159292,0.04637145,GALAXY
1237665098466590866,149.846690677538,30.190038980717,0.04647619,GALAXY
1237665098466656373,150.017336793375,30.2378957118382,0.0822174,GALAXY
1237665098466656385,150.072631897209,30.1490293685367,0.08141887,GALAXY
1237665128530903149,150.064701751241,29.9151568745701,0.08229327,GALAXY
1237665129067774145,149.816172042845,30.3265943945803,0.08241472,GALAXY
1237665098466656347,149.987377701527,30.2276807619847,0.08234841,GALAXY
