pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
HD 224018 c,HD 224018,2025,36.57669,2.42,10.4,2457778.1544,5784.0
TOI-1117 d,TOI-1117,2025,8.665,3.27,10.71,,5635.0
TIC 88785435 b,TIC 88785435,2025,10.508843,5.03,22.3,2458609.2369,3998.0
HD 224018 d,HD 224018,2025,138.0731,2.4,4.2,2457741.745,5784.0
KOI-134 b,KOI-134,2025,67.1277,12.03844527,346.43296363,2454984.727745,6160.0
HIP 111909 c,HIP 111909,2025,893.63,13.9,257.44100967,,4891.0
Gaia-4 b,Gaia-4,2025,571.3,12.4,3750.3752026,,4034.0
Barnard c,Barnard's star,2025,4.1244,0.743,0.335,,3195.0
TOI-1117 c,TOI-1117,2025,4.579,2.91,8.78,,5635.0
NGTS-32 b,NGTS-32,2025,3.31211,15.91675259,181.16219199,2459435.763,5680.0
HD 23079 c,HD 23079,2025,5.748913,2.8,8.26,,5994.0
HD 196067 c,HD 196067,2025,4.601088,3.21,10.4,,6072.0
TOI-4734 b,TOI-4734,2025,6.235633,10.9175472,61.65871096,2459710.23803,6070.0
TOI-4773 b,TOI-4773,2025,1.7452851,15.22179579,1687.66884117,2459673.53995,6740.0
HD 28471 d,HD 28471,2025,11.681,2.06,4.91,2452945.806,5766.0
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,2025,,4.86,21.0,,
TOI-2886 b,TOI-2886,2025,1.60200105,18.6405349,444.9597698,2459311.01449,6240.0
KMT-2024-BLG-0404L b,KMT-2024-BLG-0404L,2025,,11.9,8657.64580668,,
AT2021ueyL b,AT2021ueyL,2025,4168.69,13.6,425.89006538,,3680.0
TOI-6109 c,TOI-6109,2025,8.538878,4.8326,20.8,2458798.0657,5660.0
TOI-6109 b,TOI-6109,2025,5.690476,4.8704,21.1,2458791.0538,5660.0
KMT-2023-BLG-0548L b,KMT-2023-BLG-0548L,2025,,13.1,1086.97315194,,
KMT-2023-BLG-0830L b,KMT-2023-BLG-0830L,2025,,4.41,17.79839079,,
KMT-2023-BLG-0949L b,KMT-2023-BLG-0949L,2025,,12.8,1900.61387386,,
KMT-2024-BLG-1281L b,KMT-2024-BLG-1281L,2025,,4.59,19.06970442,,
KMT-2024-BLG-2059L b,KMT-2024-BLG-2059L,2025,,2.54,6.99222495,,
KMT-2024-BLG-2242L b,KMT-2024-BLG-2242L,2025,,3.82,13.98444991,,
HD 86728 b,HD 86728,2025,31.1515,3.03,9.43,2459260.69,5610.0
Gaia-5 b,Gaia-5,2025,358.62,12.1,6633.07885409,,3447.0
TOI-4364 b,TOI-4364,2025,5.424019,2.01,4.7,2458439.3428,3528.0
HD 87816 c,HD 87816,2025,7596.0,12.4,3877.5065654,,4989.0
HD 94890 b,HD 94890,2025,824.61,13.3,676.97450691,,4867.0
WASP-195 b,WASP-195,2025,5.051928,10.31226224,33.05415433,2457357.23855,6300.0
HD 94890 c,HD 94890,2025,2492.19,12.5,2831.85110637,,4867.0
TOI-6695 b,TOI-6695,2025,80.389,9.52763359,66.74396547,2459249.547139,6400.0
TOI-6038 A b,TOI-6038 A,2025,5.8267311,6.41,78.5,2459883.058,6110.0
TOI-2328 b,TOI-2328,2025,17.10197,9.97599282,50.85254512,2458330.4894,5525.0
TIC 434398831 b,TIC 434398831,2025,3.685504,3.51,12.1,2458468.635,5638.0
TIC 434398831 c,TIC 434398831,2025,6.210291,5.63,27.0,2458470.6239,5638.0
HD 73344 d,HD 73344,2025,5823.0,13.2,810.46243785,2444345.0,6148.0
TOI-5027 b,TOI-5027,2025,10.24368,10.76062147,642.01338214,2458649.4577,5909.0
WASP-102 b,WASP-102,2025,2.709813,14.90794433,197.68926915,2457109.45577,5990.0
WASP-149 b,WASP-149,2025,1.332813,15.24421375,314.96795134,2457757.6245,5750.0
TOI-6628 b,TOI-6628,2025,18.18424,10.98480109,235.19302118,2458602.721,5463.0
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,2025,,12.5,2809.60311788,,
Kepler-279 e,Kepler-279,2025,98.3531,4.13,56.0,2455050.883,6689.45
KMT-2022-BLG-2076L b,KMT-2022-BLG-2076L,2025,,13.9,279.68899816,,
TOI-1453 c,TOI-1453,2025,6.5886982,2.224,2.95,2459395.38133,4975.0
