objid,ra,dec,z,class,distancia_Mpc,distancia_años_luz,velocidad_recesion_km_s
1237648721767563397,179.898219585019,0.240869730918738,0.2011528,GALAXY,861.4870335083199,2810170703.3041396,60304.092345582394
1237674650465534131,179.897807901212,0.185588862599279,0.1786593,GALAXY,765.15300987942,2495929118.226668,53560.7106915594
1237648721230757940,180.067720963921,-0.143700357019084,0.08019324,GALAXY,343.447550494056,1120325909.7116106,24041.328534583918
1237648721230823702,180.216637721368,-0.0706521473697471,0.1080858,GALAXY,462.90439509851996,1509994136.811372,32403.307656896395
1237648721230823771,180.271342244615,-0.0347882546183625,0.1671413,GALAXY,715.82430229022,2335018874.070698,50107.701160315395
1237648721767628992,180.049280560809,0.397703203516634,0.08656619,GALAXY,370.74129828278603,1209358114.9984481,25951.89087979502
1237674649928728709,180.049192924448,-0.34162833190422,0.07986996,GALAXY,342.06302326802404,1115809581.9002943,23944.41162876168
1237674649928794307,180.271363401451,-0.328217741592147,0.2034241,GALAXY,871.2144422205399,2841901510.5234013,60985.01095543779
1237674649928859693,180.383543988972,-0.370014486433727,0.166103,GALAXY,711.3775235882,2320513481.9447083,49796.426651174
1237648721767432251,179.649996157002,0.342632063623472,0.1396517,GALAXY,598.09323438398,1950980130.5605426,41866.5264068786
1237648721230627123,179.780804898852,-0.0230522853114168,0.2493847,GALAXY,1068.0521742941798,3483986192.5476146,74763.6522005926
1237648721230692563,179.942558479762,-0.132848607673779,0.07565793,GALAXY,324.023954312742,1056966138.9681643,22681.67680189194
1237648721767497878,179.762035409737,0.285591089762163,0.1683328,GALAXY,720.9271982003199,2351664520.5294437,50464.9038740224
1237648721767563385,179.887378637212,0.372857518479586,0.1983512,GALAXY,849.48848278928,2771031430.8586316,59464.1937952496
1237674649928663343,179.942313964925,-0.333786767805644,0.1543516,GALAXY,661.04922228904,2156342563.1068487,46273.4455602328
1237674650465468669,179.740768147452,0.168704454668454,0.1571575,GALAXY,673.0661888305,2195541907.9650908,47114.633218135
1237674650465468685,179.761242785875,0.190790197847586,0.178575,GALAXY,764.791974105,2494751419.53051,53535.43818735
1237648721230889104,180.293699266259,-0.0334770609912084,0.165309,GALAXY,707.9770205646,2309421041.081725,49558.391439522
1237674649928663314,179.996017910263,-0.259776680527013,0.103913,GALAXY,445.0333384022,1451698749.8679764,31152.333688154
1237674649928532272,179.618519714055,-0.278100219636839,0.2438032,GALAXY,1044.14800851808,3406010803.785977,73090.3605962656
1237648721230692532,179.928178814,-0.0478116591307641,0.1081091,GALAXY,463.00418315953993,1510319645.4664192,32410.292821167797
1237648721230692538,179.929061350764,-0.040068657319958,0.1089733,GALAXY,466.70533519101997,1522392803.3931072,32669.373463371398
1237648721230758014,180.022223785024,-0.0748523926871167,0.0814418,GALAXY,348.79482008492,1137768703.117009,24415.6374059444
1237648721230758728,180.111753684018,-0.103089919444105,0.2574528,GALAXY,1102.60582472832,3596700200.2637796,77182.40773098239
1237648721230823776,180.275790063606,-0.117109162313243,0.1651028,GALAXY,707.0939176383199,2306540359.3361998,49496.5742346824
1237648721230823777,180.276699144051,-0.114819189103526,0.1648915,GALAXY,706.1889726901,2303588428.915106,49433.228088307
1237648721230889136,180.331286598997,-0.108861712157105,0.1620177,GALAXY,693.8812074643798,2263440498.748807,48571.68452250659
1237648721767563454,179.965637701757,0.265375419758974,0.07670525,GALAXY,328.50936341435,1071597543.4576097,22995.6554390045
1237648721767628902,180.129445679152,0.324195718365507,0.2470216,GALAXY,1057.93160918704,3450972909.1681247,74055.2126430928
1237648721767628903,180.128878215399,0.32353477810865,0.2488444,GALAXY,1065.73820479336,3476438024.03594,74601.6743355352
1237648721767629060,180.130015981604,0.374693837608184,0.08103441,GALAXY,347.05007080685397,1132077330.9719577,24293.504956479777
1237674649928728762,180.093984349821,-0.282822294081367,0.1308324,GALAXY,560.32238260056,1827771612.0430267,39222.5667820392
1237674649928729145,180.03724777586,-0.227950896347963,0.105577,GALAXY,452.15983340379995,1474945376.5631955,31651.188338265998
1237674650465403058,179.634482901463,0.0541681205704415,0.05694351,GALAXY,243.87478328639398,795519543.0802171,17071.23483004758
1237648721230823541,180.166423852426,-0.13440996922395,0.07988428,GALAXY,342.124352239432,1116009637.0050273,23948.70465676024
1237648721230823542,180.167809561352,-0.133362604203782,0.162943,GALAXY,697.8440354841999,2276367243.74946,48849.082483893995
1237648721767629053,180.108250729352,0.299624443086813,0.08105004,GALAXY,347.117010179976,1132295687.2070816,24298.19071259832
1237648721767694580,180.260009589539,0.260971657325663,0.2510791,GALAXY,1075.30886487754,3507657517.230535,75271.6205414278
1237674649928728738,180.074794251523,-0.215871164232177,0.08146055,GALAXY,348.87512163617,1138030646.7771864,24421.2585145319
1237674649928728755,180.091676657728,-0.231007280715162,0.205534,GALAXY,880.2506151796,2871377506.715855,61617.543062572
1237674649928794312,180.278032412847,-0.320063060042104,0.1002161,GALAXY,429.20044214534,1400051842.278099,30044.030950173797
1237674649928532846,179.695232722278,-0.281762623895508,0.08443831,GALAXY,361.628121489514,1179630932.2987947,25313.96850426598
1237674649928597665,179.790449439799,-0.313989089886828,0.1793208,GALAXY,767.98604860752,2505170490.55773,53759.0234025264
1237674649928663552,179.879519617125,-0.392664118887629,0.2284013,GALAXY,978.1855305342199,3190841200.6026254,68472.9871373954
