objid,ra,dec,z,class,distancia_Mpc,distancia_años_luz,velocidad_recesion_km_s
1237667446191030403,180.156783176085,24.0361326103166,0.1757608,GALAXY,752.73946074352,2455436120.945362,52691.7622520464
1237667446191030335,180.026600851577,24.0058443332623,0.1076312,GALAXY,460.95745722128,1503643225.4558153,32267.022005489598
1237667446190964906,179.871963842634,24.0620220547125,0.174384,GALAXY,746.8429713696,2436201772.6076355,52279.007995872
1237667910591185131,179.907511484944,24.1200216644895,0.2392961,GALAXY,1024.84522869734,3343045136.010723,71739.1660088138
1237667446191030352,180.0557372136,24.051736369034,0.1753182,GALAXY,750.84391585908,2449252853.532319,52559.074110135596
1237667910591316032,180.099613884505,24.1402658970773,0.1477598,GALAXY,632.8181947941199,2064252951.4184191,44297.2736355884
1237667446191030409,180.177615175977,23.921026327796,0.1023244,GALAXY,438.22976270536,1429505485.9448843,30676.0833893752
1237667910591185079,179.892724125431,24.1051297114522,0.1622036,GALAXY,694.6773705778401,2266037582.8249145,48627.4159404488
1237667910591316052,180.145695052562,24.1051065178382,0.1410211,GALAXY,603.95803141234,1970111098.4670532,42277.0621988638
1237667446191030357,180.062654583557,24.043767215705,0.1758685,GALAXY,753.2007128539001,2456940725.329422,52724.049899773
