objid,ra,dec,z,class,distancia_Mpc,distancia_años_luz,velocidad_recesion_km_s
1237651800697209059,150.006307964033,-0.235711229314811,0.09126621,GALAXY,390.87030611777396,1275018938.5561786,27360.92142824418
1237665369573949626,150.007024172121,28.3654051457723,0.1612381,GALAXY,690.5423760321399,2252549230.6168404,48337.9663222498
1237654605321339138,150.00756269904,3.90057049816357,0.2154336,GALAXY,922.64812113984,3009678171.158158,64585.3684797888
1237661063879524623,150.007858046914,9.42654211282366,0.2099625,GALAXY,899.2167708974999,2933245106.667645,62945.17396282499
1237658300067217557,150.008002205328,6.60177219610398,0.07782561,GALAXY,333.307584532134,1087249340.7438211,23331.53091724938
1237667538007359743,150.008400158676,21.1173450327917,0.06617725,GALAXY,283.42057773115,924517924.5590112,19839.4404411805
1237658423549493394,150.028560329759,6.06146725925972,0.09175228,GALAXY,392.952022118632,1281809496.1509776,27506.64154830424
1237667113873768676,150.028622574287,28.5646386702886,0.09099187,GALAXY,389.695376647378,1271186318.623747,27278.67636531646
1237661065490202672,150.02890319855,10.6355268928059,0.2556549,GALAXY,1094.9058695820602,3571582946.57668,76643.4108707442
1237648721754456298,150.029154241836,0.219381806697967,0.1916706,GALAXY,820.8771471476399,2677701253.995601,57461.4003003348
1237658422475686073,150.030251973845,5.30021153180103,0.1220252,GALAXY,522.60335208488,1704732134.5008788,36582.2346459416
1237654605858210115,150.030643605547,4.337652469768,0.2989454,GALAXY,1280.3082324827596,4176365454.358762,89621.57627379318
1237667430097813526,150.030992283416,23.0225286289154,0.2067711,GALAXY,885.54880446234,2888660200.1561527,61988.4163123638
1237671260669018251,150.053933944715,13.9326151369802,0.1742983,GALAXY,746.4759397460199,2435004515.451517,52253.31578222139
1237651736280760425,150.054370773117,1.9996245851903,0.07842605,GALAXY,335.87911858187,1095637684.81406,23511.5383007309
1237665368500076641,150.054547277928,27.4142646629448,0.07778832,GALAXY,333.147880807008,1086728387.19246,23320.35165649056
1237671261205954710,150.054627383878,14.3265114448012,0.05196684,GALAXY,222.560952829896,725993828.1311207,15579.266698092719
1237664106315579464,150.054773548865,12.7073027416591,0.1481954,QSO,634.68376043276,2070338426.5316632,44427.8632302932
1237667429023940785,150.054993947117,22.1395422851184,0.2988303,GALAXY,1279.8152880268199,4174757469.5434866,89587.07016187739
1237671125377876075,150.05546300425,15.4072407936749,0.1696967,GALAXY,726.76844010698,2370718651.6289687,50873.7908074886
1237670964852949172,150.055813027929,16.201033880537,0.06296697,GALAXY,269.671752987318,879669258.2446312,18877.022709112258
1237667255612932310,150.056063262935,26.5675391665966,0.2968162,GALAXY,1271.1894024602798,4146619830.825433,88983.25817221959
1237651752923496618,150.056063647117,1.25515594684946,0.1032767,GALAXY,442.30822495897996,1442809429.8161926,30961.575747128598
1237667253465251979,150.056198097201,24.8400108471936,0.05183324,GALAXY,221.988777510056,724127392.2378026,15539.21442570392
1237667782820364469,150.056202727612,18.8825260389756,0.1049775,GALAXY,449.5923251385,1466570164.6017869,31471.462759694998
1237660669815750794,150.073521835564,10.0244527094154,0.1158249,GALAXY,496.04902098006,1618111906.4369557,34723.4314686042
1237654599952761020,150.073556732925,3.0310672931741,0.1027972,GALAXY,440.25464662167997,1436110657.27992,30817.8252635176
1237658493340156075,150.073572875744,8.72351255108266,0.2269897,GALAXY,972.1400014811799,3171120684.831609,68049.80010368259
1237661064953331771,150.074800597243,10.1298385619259,0.1156509,GALAXY,495.30382258446,1615681069.2705085,34671.2675809122
1237667781209686216,150.07514609104,17.5913741397667,0.1104454,GALAXY,473.00997058276,1542958524.0409632,33110.6979407932
1237664106852450602,150.075720939048,13.1428086379632,0.07739525,GALAXY,331.46446050035,1081237070.1521418,23202.5122350245
1237651753997238464,150.075839253666,2.20336003654014,0.185469,GALAXY,794.3172484685999,2591062864.504573,55602.207392801996
1237665368500076691,150.076173162641,27.5703094397761,0.1159121,GALAXY,496.42247672774,1619330119.085888,34749.5733709418
1237667735031382144,150.07625351919,18.7127874298396,0.0897815,GALAXY,384.5116652561,1254277052.0653982,26915.816567927
1237658300604154126,150.096510918448,7.12275013456406,0.2601753,GALAXY,1114.26560996982,3634734419.721553,77998.59269788739
1237654605321339221,150.096604332466,3.89708100208276,0.1299502,GALAXY,556.5441410798799,1815446988.202568,38958.08987559159
1237648720680779923,150.097759579105,-0.445039728881657,0.08704937,GALAXY,372.81063713787796,1216108298.3437579,26096.744599651458
1237670965926756522,150.098382267508,17.2530516719183,0.1528824,GALAXY,654.75700687056,2135817356.4117665,45832.990480939196
1237661063879590060,150.118641678088,9.28562447689495,0.1608085,GALAXY,688.7025068899,2246547577.4748535,48209.175482292994
1237658491729543434,150.1190587412,7.53538038721619,0.226946,GALAXY,971.9528453324001,3170510181.474289,68036.699173268
1237665128530968663,150.119279808009,29.9177083623938,0.1822245,GALAXY,780.4218680403,2545736133.5474586,54629.530762821
1237654600489697498,150.11942430522,3.30701766519145,0.06160185,GALAXY,263.82528612639,860598083.3442842,18467.7700288473
1237667541753725088,150.119522634166,20.7714531595253,0.2136527,GALAXY,915.02097273338,2984798413.0562854,64051.468091336596
1237661069785235739,150.12059534399,12.4639332092126,0.257733,GALAXY,1103.8058511102,3600614686.321472,77266.40957771399
1237654600489697505,150.135120435247,3.3177035839008,0.1019812,GALAXY,436.75992311127993,1424710869.1889951,30573.194617789595
1237667783357300922,150.135240244576,19.3239092522671,0.1137182,GALAXY,487.02655281908,1588680615.2958388,34091.8586973356
