objid,ra,dec,z,class
1237648721230889183,180.356095745382,-0.104167682636148,0.1647236,GALAXY
1237674651002601705,180.356521158387,0.545372507508324,0.07770932,GALAXY
1237648720694018149,180.362532423057,-0.447288059050575,0.1685821,GALAXY
1237648722304630976,180.372735668131,0.667210891549791,0.1252062,GALAXY
1237648721767760005,180.374550557902,0.35133402314153,0.1050408,GALAXY
1237648721767760012,180.375913427651,0.408129145249099,0.06206989,GALAXY
1237648720694018238,180.377696390261,-0.498357693498072,0.168251,GALAXY
1237674651002601734,180.382290571531,0.624680068159454,0.1298918,GALAXY
1237674651539472531,180.383504861701,0.959203264835067,0.08202603,GALAXY
1237674649928859693,180.383543988972,-0.370014486433727,0.166103,GALAXY
1237648721767629053,180.108250729352,0.299624443086813,0.08105004,GALAXY
1237648721230758728,180.111753684018,-0.103089919444105,0.2574528,GALAXY
1237674651002470651,180.11414667107,0.564082206671831,0.1241733,GALAXY
1237648721230757963,180.114453771126,-0.0833140240653499,0.2000254,GALAXY
1237674649391858040,180.115571499517,-0.776767666648042,0.2410174,GALAXY
1237648720693887226,180.118331739998,-0.540876706542952,0.168568,GALAXY
1237648721230757970,180.11865520734,-0.105316866657825,0.2578151,GALAXY
1237648721230758103,180.120315430873,-0.123569091218079,0.08124281,GALAXY
1237648720693887233,180.12245048728,-0.552402297254436,0.08250542,GALAXY
1237648721767628903,180.128878215399,0.32353477810865,0.2488444,GALAXY
1237674649392119972,180.739934668614,-0.781592901338854,0.1695229,GALAXY
1237674650465861978,180.740947472945,0.0599569691763944,0.07968453,GALAXY
1237648721231085660,180.741283498678,-0.195759724583834,0.0933985,GALAXY
1237674650465861984,180.741728576154,0.141301444981331,0.07883989,GALAXY
1237674650465861987,180.742694893401,0.030232129437809,0.07976266,GALAXY
1237674651539669033,180.748471702646,0.864691699531923,0.07852136,GALAXY
1237648721231085667,180.749362428676,-0.0786669607746668,0.1516144,GALAXY
1237674649392185459,180.750342113609,-0.838210925567527,0.09272203,GALAXY
1237674651539669047,180.757374038251,0.898752238558923,0.0833628,GALAXY
1237648722304827600,180.852523830752,0.662060167811493,0.1333165,GALAXY
1237648721231085835,180.863950873594,-0.0423636632867321,0.2143535,GALAXY
1237674650465927309,180.86820384582,0.0601393102856767,0.08192924,GALAXY
1237674649391726749,179.80501528928,-0.824921726737501,0.1297003,GALAXY
1237674649391726755,179.808440019543,-0.809222372933705,0.1748664,GALAXY
1237654670822408375,179.808721990944,0.518460118796186,0.1743532,GALAXY
1237674651539210449,179.82556934767,0.853760985042063,0.07707581,GALAXY
1237648721767563454,179.965637701757,0.265375419758974,0.07670525,GALAXY
1237674651002404907,179.978631211633,0.616945233036523,0.1066707,GALAXY
1237648721767891045,180.639736460403,0.275094624948144,0.1801139,GALAXY
1237674649928335500,179.126459148223,-0.218346489781526,0.1103917,GALAXY
1237648720156622982,179.131917366043,-0.871833422874711,0.1093556,GALAXY
1237674649928335507,179.135726360289,-0.211307600496685,0.1069745,GALAXY
1237674649928335519,179.140463296717,-0.356816374396051,0.1077927,GALAXY
