objid,ra,dec,z,class,Velocidad_Recesion_km_s,Distancia_Hubble_Mpc
1237651800697209059,150.006307964033,-0.235711229314811,0.09126621,GALAXY,27360.92142824418,390.87030611777396
1237665369573949626,150.007024172121,28.3654051457723,0.1612381,GALAXY,48337.9663222498,690.5423760321399
1237654605321339138,150.00756269904,3.90057049816357,0.2154336,GALAXY,64585.3684797888,922.64812113984
1237661063879524623,150.007858046914,9.42654211282366,0.2099625,GALAXY,62945.17396282499,899.2167708974999
1237658300067217557,150.008002205328,6.60177219610398,0.07782561,GALAXY,23331.53091724938,333.307584532134
1237667538007359743,150.008400158676,21.1173450327917,0.06617725,GALAXY,19839.4404411805,283.42057773115
1237658423549493394,150.028560329759,6.06146725925972,0.09175228,GALAXY,27506.64154830424,392.952022118632
1237667113873768676,150.028622574287,28.5646386702886,0.09099187,GALAXY,27278.67636531646,389.695376647378
1237661065490202672,150.02890319855,10.6355268928059,0.2556549,GALAXY,76643.4108707442,1094.9058695820602
1237648721754456298,150.029154241836,0.219381806697967,0.1916706,GALAXY,57461.4003003348,820.8771471476399
1237658422475686073,150.030251973845,5.30021153180103,0.1220252,GALAXY,36582.2346459416,522.60335208488
1237654605858210115,150.030643605547,4.337652469768,0.2989454,GALAXY,89621.57627379318,1280.3082324827596
1237667430097813526,150.030992283416,23.0225286289154,0.2067711,GALAXY,61988.4163123638,885.54880446234
1237671260669018251,150.053933944715,13.9326151369802,0.1742983,GALAXY,52253.31578222139,746.4759397460199
1237651736280760425,150.054370773117,1.9996245851903,0.07842605,GALAXY,23511.5383007309,335.87911858187
1237665368500076641,150.054547277928,27.4142646629448,0.07778832,GALAXY,23320.35165649056,333.147880807008
1237671261205954710,150.054627383878,14.3265114448012,0.05196684,GALAXY,15579.266698092719,222.560952829896
1237664106315579464,150.054773548865,12.7073027416591,0.1481954,QSO,44427.8632302932,634.68376043276
1237667429023940785,150.054993947117,22.1395422851184,0.2988303,GALAXY,89587.07016187739,1279.8152880268199
1237671125377876075,150.05546300425,15.4072407936749,0.1696967,GALAXY,50873.7908074886,726.76844010698
1237670964852949172,150.055813027929,16.201033880537,0.06296697,GALAXY,18877.022709112258,269.671752987318
1237667255612932310,150.056063262935,26.5675391665966,0.2968162,GALAXY,88983.25817221959,1271.1894024602798
1237651752923496618,150.056063647117,1.25515594684946,0.1032767,GALAXY,30961.575747128598,442.30822495897996
1237667253465251979,150.056198097201,24.8400108471936,0.05183324,GALAXY,15539.21442570392,221.988777510056
1237667782820364469,150.056202727612,18.8825260389756,0.1049775,GALAXY,31471.462759694998,449.5923251385
1237660669815750794,150.073521835564,10.0244527094154,0.1158249,GALAXY,34723.4314686042,496.04902098006
1237654599952761020,150.073556732925,3.0310672931741,0.1027972,GALAXY,30817.8252635176,440.25464662167997
1237658493340156075,150.073572875744,8.72351255108266,0.2269897,GALAXY,68049.80010368259,972.1400014811799
1237661064953331771,150.074800597243,10.1298385619259,0.1156509,GALAXY,34671.2675809122,495.30382258446
1237667781209686216,150.07514609104,17.5913741397667,0.1104454,GALAXY,33110.6979407932,473.00997058276
1237664106852450602,150.075720939048,13.1428086379632,0.07739525,GALAXY,23202.5122350245,331.46446050035
1237651753997238464,150.075839253666,2.20336003654014,0.185469,GALAXY,55602.207392801996,794.3172484685999
1237665368500076691,150.076173162641,27.5703094397761,0.1159121,GALAXY,34749.5733709418,496.42247672774
1237667735031382144,150.07625351919,18.7127874298396,0.0897815,GALAXY,26915.816567927,384.5116652561
1237658300604154126,150.096510918448,7.12275013456406,0.2601753,GALAXY,77998.59269788739,1114.26560996982
1237654605321339221,150.096604332466,3.89708100208276,0.1299502,GALAXY,38958.08987559159,556.5441410798799
1237648720680779923,150.097759579105,-0.445039728881657,0.08704937,GALAXY,26096.744599651458,372.81063713787796
1237670965926756522,150.098382267508,17.2530516719183,0.1528824,GALAXY,45832.990480939196,654.75700687056
1237661063879590060,150.118641678088,9.28562447689495,0.1608085,GALAXY,48209.175482292994,688.7025068899
1237658491729543434,150.1190587412,7.53538038721619,0.226946,GALAXY,68036.699173268,971.9528453324001
1237665128530968663,150.119279808009,29.9177083623938,0.1822245,GALAXY,54629.530762821,780.4218680403
1237654600489697498,150.11942430522,3.30701766519145,0.06160185,GALAXY,18467.7700288473,263.82528612639
1237667541753725088,150.119522634166,20.7714531595253,0.2136527,GALAXY,64051.468091336596,915.02097273338
1237661069785235739,150.12059534399,12.4639332092126,0.257733,GALAXY,77266.40957771399,1103.8058511102
1237654600489697505,150.135120435247,3.3177035839008,0.1019812,GALAXY,30573.194617789595,436.75992311127993
1237667783357300922,150.135240244576,19.3239092522671,0.1137182,GALAXY,34091.8586973356,487.02655281908
1237664106315579689,150.13524611681,12.755220494439,0.06404459,GALAXY,19200.085057702217,274.286929395746
1237667113873834099,150.136353048051,28.6670059303993,0.09017748,GALAXY,27034.52838544584,386.207548363512
1237658424086429825,150.136708415292,6.393983606024,0.2062964,GALAXY,61846.104832551195,883.5157833221599
1237667536933552357,150.137116355593,20.1745717769896,0.1293885,GALAXY,38789.69645193299,554.1385207418999
1237667542290661616,150.137146500759,21.2110724455711,0.1401134,GALAXY,42004.940584737196,600.07057978196
1237671124841005277,150.154481670809,15.0365874978451,0.2260384,GALAXY,67764.6075383872,968.0658219769599
1237667254002188383,150.155074434134,25.2499563369022,0.07472683,GALAXY,22402.540044248137,320.03628634640194
1237661068711428370,150.155450565948,11.7580110434119,0.1424113,GALAXY,42693.833673975394,609.9119096282199
1237658492803285148,150.155534587337,8.26212728490168,0.1207018,GALAXY,36185.4893070244,516.93556152892
1237658492803285158,150.155615336467,8.31118895399637,0.1205979,GALAXY,36154.340870638196,516.49058386626
1237668289618378933,150.155785019558,16.9929258269661,0.1113591,GALAXY,33384.6183096678,476.92311870954
1237667254539124838,150.156155676704,25.57577353454,0.1116435,GALAXY,33469.879284723,478.1411326389
1237661064416526617,150.156293452346,9.87178525584354,0.05585635,GALAXY,16745.3124614083,239.21874944868998
1237667429560942684,150.156463661426,22.4968874247363,0.07080441,GALAXY,21226.628111139777,303.23754444485394
1237670965926822026,150.157002564598,17.074342170822,0.2396072,GALAXY,71832.43144249759,1026.17759203568
1237671124304134256,150.173687941832,14.6248581447897,0.07875746,GALAXY,23610.89251923668,337.298464560524
1237667538007425347,150.173872627985,21.1533743102623,0.2896632,GALAXY,86838.84272014559,1240.5548960020799
1237667212126519382,150.174484947586,25.954625697466,0.1615196,GALAXY,48422.3578991768,691.74796998824
1237667293194158211,150.174529801149,23.2094675015987,0.09782204,GALAXY,29326.30981817432,418.94728311677596
1237665367426269361,150.17500943277,26.7009887574933,0.1144298,GALAXY,34305.1910104484,490.07415729212
1237661064416526446,150.175754231284,9.87176481675444,0.05634227,GALAXY,16890.98761259966,241.299823037138
1237658297919733934,150.175863364874,4.91801105411344,0.1228489,GALAXY,36829.173693596196,526.13105276566
1237661066027204801,150.175947321108,10.9924744194137,0.2936851,GALAXY,88044.57800697579,1257.7796858139398
1237661068711493756,150.176126938239,11.7195141924418,0.2071893,GALAXY,62113.789518299396,887.33985026142
1237658300067283226,150.19298561814,6.65595265585113,0.09349109,GALAXY,28027.923672199217,400.39890960284595
1237651801234211006,150.19312788867,0.208056260464426,0.1338845,GALAXY,40137.56334310099,573.3937620442999
1237667540679917803,150.193151288048,19.9416912316128,0.1094042,GALAXY,32798.55403352359,468.5507719074799
1237648722291458220,150.193563081703,0.782649321210007,0.09769482,GALAXY,29288.17022166756,418.40243173810796
1237670965926821987,150.193737733329,17.1693881605336,0.1238212,GALAXY,37120.6619005096,530.29517000728
1237658423549559026,150.193848097586,6.01789424205168,0.2158657,GALAXY,64714.9088008906,924.49869715558
1237665369037078638,150.193863436675,27.9477040588086,0.117698,GALAXY,35284.972721684,504.07103888119997
1237651754534175083,150.193925792949,2.55126073099679,0.1068148,GALAXY,32022.271442778398,457.46102061112
1237670965926821975,150.19392857132,17.1200340244853,0.0566587,GALAXY,16985.850940084598,242.65501342977996
1237654604247662664,150.194133189761,3.22774917042578,0.1248698,GALAXY,37435.024271968396,534.7860610281199
1237671261742891189,150.194144429668,14.8727480485933,0.07768937,GALAXY,23290.687192771456,332.72410275387796
1237667429024006290,150.194282570777,22.1813112185383,0.127842,GALAXY,38326.067415636004,547.5152487948001
1237654668661948601,150.194604028347,-1.17717877108019,0.1222148,GALAXY,36639.0752959784,523.41536137112
1237667254539124926,150.19466326294,25.6304431357551,0.2665377,GALAXY,79905.9922326666,1141.51417475238
1237658424623301376,150.194763641909,6.98902069280386,0.1194553,GALAXY,35811.7980081274,511.59711440182
1237648721754587348,150.195223477453,0.244655306129135,0.06573609,GALAXY,19707.18400040922,281.53120000584596
1237658297919799306,150.195388125,4.93392391849185,0.1233469,GALAXY,36978.4703376802,528.26386196686
1237667542827597958,150.195412308353,21.6704227681655,0.1472038,GALAXY,44130.5890289404,630.4369861277199
1237667254002253923,150.207232905561,25.3084535290725,0.075137,GALAXY,22525.505916746,321.7929416678
1237667430097879112,150.20745247659,22.9753882766908,0.1287262,GALAXY,38591.143906999605,551.30205581428
1237671124841005205,150.207500684735,15.0940690225154,0.1703339,GALAXY,51064.8185617262,729.49740802466
1237658425160237230,150.207655044339,7.42385162818664,0.1260777,GALAXY,37797.143581986595,539.9591940283799
1237664105241837679,150.207995528371,11.8973214635016,0.07778244,GALAXY,23318.588876837515,333.12269824053595
1237660670352687331,150.208101844448,10.4442285050501,0.06061472,GALAXY,18171.83589978176,259.597655711168
1237660670352687332,150.20901773346,10.4463710250618,0.2754938,GALAXY,82590.9634657604,1179.87090665372
1237654604247662871,150.209424003487,3.23348835991871,0.1026999,GALAXY,30788.655457354198,439.83793510505996
1237667782820429971,150.209656350198,18.8330040336895,0.189218,GALAXY,56726.129317843996,810.3732759691999
1237658423549558948,150.227068230232,5.97514281372933,0.09186069,GALAXY,27539.142048676018,393.416314981086
1237648721217716396,150.227080685373,-0.0311082409736053,0.09491993,GALAXY,28456.279127887938,406.51827325554194
1237667537470554230,150.227374411641,20.5865666165988,0.2063767,GALAXY,61870.1781669286,883.85968809898
1237654605321404762,150.227545179754,4.08298574011332,0.2168905,GALAXY,65022.136111849,928.8876587407
1237671125377941890,150.227766411554,15.4163494040263,0.2316775,GALAXY,69455.167188295,992.2166741185
1237651800697340062,150.227828018902,-0.310571244572782,0.08794625,GALAXY,26365.6224593825,376.65174941975
1237658297919799514,150.227844978925,4.92088469168119,0.1231323,GALAXY,36914.1348761934,527.34478394562
1237665368500142279,150.228281455443,27.5672428007711,0.1157999,GALAXY,34715.9366571542,495.94195224505995
1237660669815816300,150.228508188832,10.0049016259971,0.1599282,GALAXY,47945.268181515596,684.9324025930799
1237654670272561197,150.228572756663,0.0435252017769071,0.09931388,GALAXY,29773.552198717036,425.33645998167196
1237651800160469245,150.229201592026,-0.727848376931669,0.1688969,GALAXY,50634.0167995802,723.3430971368599
1237658300604219690,150.229396534946,7.16770154858175,0.166015,GALAXY,49770.04491487,711.000641641
1237667254539124890,150.243679462457,25.5972945059287,0.1156767,GALAXY,34679.002226328594,495.4143175189799
1237658297919799524,150.243854340966,4.92444640742624,0.1229225,GALAXY,36851.238418504996,526.4462631214999
1237667538007490759,150.244114508637,21.1122723120498,0.1811875,GALAXY,54318.645983874994,775.9806569125
1237654605321404767,150.244309502459,3.96003189375858,0.2278037,GALAXY,68293.8311644946,975.62615949278
1237671261206020266,150.244395287925,14.3310252735455,0.1715204,GALAXY,51420.52231314319,734.5788901877598
1237665096855912594,150.244457121212,28.9037065126569,0.08626278,GALAXY,25860.930850113236,369.44186928733194
1237651753997303960,150.244572864748,2.19429246635929,0.1094691,GALAXY,32818.0105640478,468.82872234354
1237651736280825964,150.245305685592,1.84805173273687,0.124199,GALAXY,37233.923491142,531.9131927306
1237667253465317539,150.245310980966,24.7445115004509,0.1430662,GALAXY,42890.1677547196,612.71668221028
1237667113336963483,150.245415410933,28.2109247857103,0.1866617,GALAXY,55959.7698574586,799.42528367798
1237664105241837718,150.245767411304,11.9140026347085,0.2072722,GALAXY,62138.64231306759,887.6948901866799
1237667113336897862,150.246063366052,28.1079247513065,0.1866565,GALAXY,55958.210936676995,799.4030133810999
1237665369037144267,150.260525754876,28.0711419205601,0.1169837,GALAXY,35070.8309689346,501.01187098478
1237660670352752813,150.260827900214,10.4950971891358,0.1653928,GALAXY,49583.5140475024,708.3359149643201
1237671123767263376,150.261401553288,14.15042008012,0.07017779,GALAXY,21038.77216110782,300.553888015826
1237651752386691199,150.261420220187,0.870338221089778,0.134562,GALAXY,40340.67273339599,576.2953247627999
1237665096855912620,150.26163702897,28.886891730471,0.1020348,GALAXY,30589.263493538398,436.98947847911995
1237667113336963234,150.261721321875,28.1704392067635,0.1800221,GALAXY,53969.26785332179,770.9895407617399
1237667113336963277,150.262527256741,28.2109802144784,0.1827452,GALAXY,54785.6326957016,782.65189565288
1237667733957640382,150.262586220537,17.8242239656082,0.1390273,GALAXY,41679.33599610339,595.4190856586199
1237654599952892036,150.262611534222,3.04551518831102,0.08000698,GALAXY,23985.48919135684,342.649845590812
1237658423549558974,150.262690508977,6.12477726556905,0.07510397,GALAXY,22515.60377185826,321.651482455118
1237667536396746933,150.262822277884,19.7244555630516,0.1705562,GALAXY,51131.462425139594,730.4494632162799
1237648721217716445,150.280206118054,-0.0440685941959203,0.08847246,GALAXY,26523.376248706678,378.90537498152395
1237658492803350763,150.280401928953,8.27385397652349,0.1267212,GALAXY,37990.0600287096,542.71514326728
1237648722828329142,150.281183973859,1.21346076325529,0.09213153,GALAXY,27620.337838000738,394.57625482858197
1237660670352753202,150.281282448493,10.4272198283553,0.1613613,GALAXY,48374.9007530754,691.0700107582201
1237671261206020301,150.281723438911,14.4167815544488,0.07752296,GALAXY,23240.79872983568,332.01141042622396
1237658493340221623,150.281841008492,8.8384547608989,0.2543853,GALAXY,76262.79436606739,1089.46849094382
1237661064953462879,150.282290591624,10.1246993362378,0.1611015,GALAXY,48297.014672487,689.9573524641
1237651752386691219,150.282336332176,0.853217998119072,0.1239753,GALAXY,37166.859918287395,530.9551416898199
1237658300067348670,150.282727633525,6.64866996377688,0.1242598,GALAXY,37252.1508725884,532.1735838941199
1237664105241837777,150.28284822663,11.9932195500147,0.1163116,GALAXY,34869.3404579128,498.1334351130399
1237667211589648503,150.302535069529,25.4795237624778,0.1643193,GALAXY,49261.6868438394,703.73838348342
1237661065490333945,150.302559982022,10.6226925066219,0.1063814,GALAXY,31892.341391481197,455.60487702115995
1237658300067348795,150.3027032621,6.69270128449168,0.2055009,GALAXY,61607.61993221219,880.1088561744599
