ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
90.00000006857215,-32.21249603914592,REX,0.417513,0.839315,1.786411,0.37201,-4.10595,1654.5643,1059.1964,156.88745
90.00000055201862,-30.036680870340565,REX,0.167686,0.740054,3.283074,12.049787,6.925407,2595.3252,1507.5667,146.09413
90.00000102492046,-27.397976424119527,PSF,0.092627,0.491977,2.345998,2.922659,3.097421,3425.8154,2465.0764,228.81326
90.00000147923225,-27.558939927970737,REX,0.147121,0.2498,0.288102,1.93205,-0.28589,2154.2217,1380.0114,125.38336
90.00000152100336,-30.959328076252177,REX,0.143334,0.489206,2.225751,13.89849,5.287743,3325.097,1968.2091,230.17429
90.00000160187004,-60.427853858916,PSF,0.070485,0.118192,0.220887,-0.419268,-0.390271,3518.5688,2398.211,366.14563
90.0000018710332,-28.84332419043977,REX,0.178799,0.375471,0.433568,0.01456,-0.465338,2963.1167,2051.494,199.15492
90.00000190029148,-24.956368011407985,PSF,4.697814,15.152489,29.822855,14.676793,6.423499,1697.4082,768.2079,113.94191
90.00000201264757,-61.49511178297948,REX,0.981045,1.435577,2.58868,5.583845,4.097479,1774.6414,1161.2556,175.97719
90.00000202584556,-26.271153751913545,EXP,0.289275,0.414917,0.812551,6.172893,7.52483,1663.2385,1023.46246,92.82454
90.00000240328447,-31.70114404141057,REX,0.047247,0.238108,0.769271,3.466706,1.214943,2600.941,1622.9484,214.40285
90.00000241576578,-27.80915323580837,PSF,0.040667,0.10169,0.392895,-0.200148,-2.718734,3259.417,2702.812,228.8497
90.00000244491957,-32.29630756576389,PSF,2.144577,7.323392,16.124838,10.79618,5.18209,2560.403,1270.1497,275.74142
90.00000256964003,-54.59842168867878,REX,0.030754,0.102286,0.208234,-1.289264,-2.526047,3934.756,2200.7488,295.97104
90.00000270970011,-42.83068215772245,PSF,0.017343,0.145087,0.042946,-2.525372,-2.159863,5041.686,3302.8662,439.92346
90.00000271359642,-53.07015979852614,REX,0.188716,0.271867,0.771674,3.359838,3.326924,2176.6516,1314.7606,117.103424
90.00000295798779,-32.6525703016687,REX,0.14728,0.319303,0.712168,4.111127,6.580199,3643.8096,2302.7017,243.87744
90.0000031878062,-42.57203633799924,REX,0.085648,0.128443,0.758094,5.832973,5.547009,2273.9563,2020.8595,214.78801
90.00000328864607,-26.265577918580703,REX,-0.00405,0.095323,0.417902,1.654922,2.949769,3133.8872,2029.177,197.2114
90.00000446566355,-41.61819813073212,REX,0.356099,0.98674,2.038557,1.524849,1.447088,3706.5125,2112.526,350.12036
90.00000452552047,-33.199989464336866,REX,0.131188,0.169578,0.155947,1.279752,1.094476,2908.0657,1903.1438,175.56152
90.00000469965352,-45.12883552733556,PSF,0.054767,0.153493,0.313231,-1.43543,-3.043948,4474.5913,3650.8208,417.8338
90.00000489958654,-49.74592169520964,PSF,0.063044,0.077079,0.033062,-0.88519,0.758942,5047.4443,3659.647,369.3219
90.00000497837799,-36.65247219559497,PSF,0.078826,0.067896,0.270622,0.48714,4.158251,3916.8381,3058.2454,342.10724
90.00000511106643,-50.915808834539,REX,0.075794,0.12745,0.12107,-0.12786,0.299524,2720.5872,1932.9109,157.10582
90.00000516396025,-48.71380275135498,REX,0.121374,0.147274,0.032655,0.640776,-0.146852,2475.6155,1821.0803,148.81776
90.00000519240342,-42.087107598082056,EXP,0.271602,0.524221,0.668213,-1.016741,0.902056,2348.1821,1658.2054,218.36314
90.00000525247835,-54.3775642216724,REX,0.121786,0.594415,2.95101,22.400595,11.749553,2594.624,1470.3701,152.53943
90.00000534894369,-57.28249820221371,REX,0.036666,0.260102,1.843224,10.441188,6.21342,2123.7817,1451.3773,134.09586
90.00000578460934,-52.82707969542825,PSF,0.064461,0.079839,0.024212,0.094822,2.424526,3675.8376,2330.3635,371.10645
90.00000588631934,-57.420405716150746,REX,0.138607,0.234434,0.993297,10.802388,12.39177,2290.4976,1800.8549,139.88054
90.00000604343084,-50.8722018650526,PSF,0.651443,2.471497,15.504694,12.032268,6.35071,3450.0972,2534.074,215.81621
90.00000610488367,-39.02925531743459,REX,0.132031,0.248488,0.464482,1.65082,1.884372,1959.1974,1648.9697,202.78882
90.00000621597998,-34.14387112592574,REX,0.211273,1.472783,6.790145,32.15617,14.871056,2286.2827,1631.9551,153.15225
90.00000628176531,-34.7879409070931,PSF,0.062206,0.049643,0.362523,5.097634,10.921245,3494.9863,1861.9434,335.66263
90.00000643246945,56.62840468255711,REX,0.530457,0.806257,0.617093,-0.208714,-1.040285,497.3991,117.56766,34.98948
90.00000646025805,-52.46840056013328,REX,0.287113,0.370043,0.55297,2.022564,0.965349,1013.3576,979.6759,108.16253
90.00000662374659,-33.35923988047273,PSF,0.083327,0.194406,0.247355,0.200669,-3.061838,4313.994,3043.5076,321.11942
90.00000663670492,-58.81585826949542,REX,0.188972,0.174021,0.239447,0.391783,0.497648,1470.7021,971.7349,105.42595
90.00000664359422,-54.38875210283393,PSF,0.029497,0.089433,0.159177,3.794563,2.66343,5628.472,3222.563,364.24158
90.00000678625081,-50.31174707400017,REX,0.102187,0.144492,0.143658,0.37178,-0.616279,3105.063,2412.7754,184.71736
90.00000695883521,-28.029242031177898,REX,0.355486,0.427352,1.071682,3.355911,4.40694,952.88666,747.8317,66.45103
90.00000696473677,66.06772833064684,REX,0.352584,1.200147,0.0,24.981325,18.085575,304.9902,104.982025,0.0
90.00000710448198,-40.70727342759719,REX,0.061021,0.138719,0.100548,8.740507,6.962412,3886.5269,2870.2483,216.96817
90.00000713353465,-38.763010417950994,REX,0.448794,1.072733,1.579295,2.496163,0.083104,1824.546,1321.2292,122.35765
90.00000718228972,56.30322712594865,PSF,0.076492,0.12178,0.70859,9.888401,6.424353,354.154,58.018753,81.515976
90.00000726500475,-37.80841665969327,REX,0.098974,0.165101,0.168831,0.823384,-2.455431,1670.7772,1312.3285,134.40994
90.00000735464182,-53.36706763190639,PSF,0.141479,0.186679,0.325444,-0.213552,-0.24293,3769.4294,2724.1975,296.67175
90.00000767825571,-33.69225964594834,REX,0.108118,0.075192,0.225915,3.553695,2.084695,2287.2156,1708.6436,157.59976
90.00000801618566,-51.68876827115227,REX,0.207231,0.409204,0.751089,1.550331,0.015843,1367.1062,1158.9252,123.83224
90.00000822950973,-43.841479797089626,EXP,0.278772,0.853205,1.587886,5.999979,3.106725,1945.4143,1667.1382,144.33322
90.00000825077913,-43.63980947629303,REX,0.132115,0.210874,0.33606,0.172246,-0.589584,1323.7865,878.30365,94.23109
90.00000837333316,-23.950366087562685,REX,0.328829,0.365744,0.627658,5.116603,9.277427,912.531,600.61096,65.5973
90.00000873128309,60.981597222317305,PSF,0.297517,1.262992,0.0,3.036201,2.991594,266.77817,96.16892,0.0
90.00000881878904,-60.91843338367238,PSF,0.185499,0.350596,0.444817,-0.457915,-0.507719,3144.8672,2122.563,321.06274
90.0000088424445,-39.316991997702885,REX,0.134623,0.212947,0.307646,0.67926,-0.821604,1765.3715,1150.1852,91.540436
90.00000896019503,-30.134436782320694,DEV,0.440559,1.168404,1.807205,3.239492,1.830721,1000.90894,560.31854,44.729626
90.00000948064702,-42.47111013986187,REX,0.175172,0.338389,0.385022,1.354808,0.459582,3052.233,1953.9751,274.38605
90.00001000590954,-61.66128152087055,PSF,0.12886,0.095982,0.172734,-0.555881,0.115798,2048.332,1442.4178,219.04883
90.0000100997482,-28.68823906581328,REX,0.27368,0.204051,0.346566,-2.319302,-0.662265,1539.246,1073.3239,105.79852
90.00001046906445,-48.78070754644095,PSF,18.885397,33.268093,42.59569,14.411604,6.473592,809.2988,650.6885,164.84
90.00001051169943,-47.03954294917224,REX,0.057936,0.16147,0.601835,5.889933,4.041647,2567.8008,1892.4336,188.59421
90.00001057485042,-45.17122389391468,PSF,0.039254,0.095026,0.14642,-1.158172,-3.06081,4040.9976,3748.1946,428.3542
