ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
150.0000147583243,-22.39820673524341,SER,0.0,0.0,59.58225,67.514404,49.169033,0.0,0.0,8.532608
150.00001499255595,14.89049433187401,REX,0.1632,0.381534,0.507814,-1.222597,4.076972,1229.0889,519.7255,84.25207
150.00001517079082,24.62127301328593,REX,0.159356,0.695091,2.252997,8.653165,8.34366,829.7387,213.44283,41.964108
150.00001594427565,28.483653309418823,REX,0.554027,1.215953,3.619349,9.975006,5.482316,688.7561,222.61664,48.359016
150.00001598878848,25.289380987841422,REX,0.207779,0.45963,1.430465,5.050832,2.430034,1499.9525,385.87177,45.336105
150.00001642820496,-21.26054202912893,REX,0.0,0.0,7.111282,6.647054,-0.480311,0.0,0.0,17.952448
150.00001649035403,29.351416863669645,REX,0.320147,0.581671,0.760894,0.513226,0.547282,614.3517,163.38881,19.229359
150.00001672713069,15.510638301563818,PSF,0.209497,0.213412,0.510513,-0.098056,0.598474,1545.4817,566.51117,66.93785
150.00001728752378,-19.7308367745643,REX,0.0,0.0,2.072441,6.520646,1.340201,0.0,0.0,12.219963
150.00001750058243,-25.013510913158942,EXP,0.0,0.0,3.481941,7.653215,7.660626,0.0,0.0,38.260876
150.00001758250772,6.070152902356546,EXP,2.070253,3.052891,3.963412,-0.964389,-5.79685,1037.8705,339.33124,60.885597
150.00001801004703,27.369796497922465,REX,0.262302,0.314743,0.880736,1.961794,1.50005,555.845,134.50177,32.284748
150.00001802847348,-1.0162567199523234,REX,0.513055,0.622573,0.898527,0.971159,0.972996,820.0492,195.0161,60.284668
150.00001804184913,25.714579910334383,REX,0.199045,0.357349,0.51403,0.418608,-0.367835,1253.596,423.28546,72.08589
150.00001806941455,-6.304793196161797,REX,0.188369,0.401304,0.595311,0.222291,0.577721,1369.844,563.231,121.23395
150.000018091403,1.0914271870392758,PSF,0.321613,0.560047,0.7919,-0.501243,3.23363,1949.8928,781.87445,109.048676
150.0000182748134,4.343356461041415,REX,0.277568,0.395057,0.693044,27.073133,14.062954,994.5176,389.58203,96.59956
150.00001841144964,26.342019983566463,EXP,0.590733,1.313436,3.943848,10.700414,6.047395,221.54895,91.18384,19.028301
150.00001899754378,-1.8720219615713116,PSF,0.110669,0.146973,0.227779,1.862625,1.308204,1821.1908,575.2646,115.569244
150.00001955425986,14.628012200995666,REX,1.065043,3.630219,8.90675,20.506308,10.159601,856.0186,211.07582,40.820816
150.00001972026527,5.466280904026308,REX,0.407546,0.862733,2.414022,8.235144,6.643988,740.6893,312.00858,74.34467
150.000019790364,8.729119666463635,REX,0.242493,0.231169,0.512655,1.752267,4.160678,539.7264,230.09,41.89484
150.0000200100396,15.332067106290602,REX,0.193534,0.359727,0.213948,0.456924,1.461468,618.0056,253.0057,24.656208
150.00002042635649,-1.1794376580866708,PSF,0.419121,0.743556,0.754806,0.555435,-1.066277,1641.2053,515.0498,117.363716
150.00002081155674,15.090936383706229,REX,0.127947,0.310452,0.336389,2.519222,2.684707,1160.1794,414.45093,47.017845
150.00002105745213,16.69757500982873,REX,0.138984,0.225942,0.372832,8.234796,2.797644,1407.9476,415.471,81.92541
150.00002133384243,-2.329449514521853,REX,0.113124,0.273392,1.048832,2.566166,0.557587,1826.1552,608.42346,80.64709
150.0000217040398,16.192260392688787,PSF,0.189034,0.265352,0.18855,1.107206,-3.938725,1474.3776,617.06525,35.95737
150.0000217199047,23.83196734431042,PSF,0.225994,0.268749,0.285887,0.100517,0.643854,874.9865,532.9887,82.66429
150.0000217849785,11.97959597215696,PSF,0.192068,0.146299,0.485269,0.928278,-0.468883,1405.6265,562.2527,107.47152
150.00002234488022,5.366327328672767,PSF,0.185863,0.185911,0.457812,0.227578,17.211914,1037.3921,455.64905,115.11075
150.0000228321006,-24.75561518809585,PSF,0.0,0.0,0.80921,0.755746,-1.049653,0.0,0.0,64.770645
150.00002326104493,9.315983790414643,DEV,3.970925,15.672332,44.32393,81.804405,33.695107,82.928764,19.598658,2.640704
150.00002444733877,9.899744749999671,REX,0.220638,0.343877,0.43114,-0.240488,3.964854,627.33276,247.18524,38.56421
150.0000245383631,16.299342350942933,REX,0.251847,0.710617,1.382331,1.08243,0.79195,1561.9976,674.3934,94.14507
150.0000245427971,7.309677380199402,REX,0.147887,0.274883,0.428612,-0.542349,5.827663,963.3198,331.80807,67.95735
150.00002468603157,-6.1134649318829,PSF,7.944555,26.711802,54.115944,31.632448,16.753489,469.77432,165.87886,65.06801
150.0000247403798,19.733461829214928,EXP,2.660781,5.043449,7.38851,5.015886,4.85512,659.0089,199.90335,41.103325
150.00002485319865,7.0879807912968325,REX,0.123706,0.389151,0.343868,0.48356,1.612848,1051.383,358.37598,77.02413
150.0000249010824,26.08037693065248,REX,0.323052,0.446147,0.515987,0.047947,1.048157,699.4275,263.28296,49.186016
150.00002495048778,7.1216881317416565,REX,0.218125,0.560349,0.541771,0.979585,-0.685406,433.92548,109.68443,22.990513
150.0000253418711,2.109494500270205,PSF,0.036861,0.124635,0.773876,7.208088,7.794808,1454.7454,546.0814,86.047
150.0000257001118,-1.8569087165942768,REX,0.170819,0.493583,1.042781,1.173597,-0.179698,982.48804,276.2033,28.509403
150.00002572182953,-7.340297416520097,REX,0.231775,0.600792,1.172403,0.945408,0.555485,989.86536,307.5496,46.697456
150.0000258317436,-17.593373422670467,PSF,0.079603,0.502251,3.738204,2.373443,-0.300898,470.70126,375.0656,36.345848
150.00002596937964,-25.782226228240884,PSF,0.0,0.0,1.292934,6.378366,1.709332,0.0,0.0,49.008
150.00002623262162,21.783749499665408,EXP,0.326102,1.062053,2.428838,7.915512,-7.387136,827.76746,317.1886,88.21023
150.00002640512878,-17.575882563272298,REX,0.352388,0.696945,0.682399,0.094647,-1.157948,360.3332,270.39175,24.016394
150.0000270377756,-27.670906695328284,PSF,0.0,0.0,8.888056,6.807523,3.44173,0.0,0.0,76.305916
150.00002745464263,-8.236613235977517,REX,0.063431,0.231008,1.429782,3.40677,3.369296,1630.6523,543.1511,89.54877
150.00002753754137,21.635457774501944,REX,0.408618,0.582751,1.235619,-0.252322,-2.300843,813.04565,311.10657,84.35745
150.00002756976318,18.29534233090422,PSF,0.389526,1.721088,15.361367,11.697199,8.725416,1391.7896,857.8252,89.92998
150.00002774615336,18.42138289490208,REX,0.114816,0.237774,0.747744,1.336794,-0.153482,1021.8939,681.0375,73.519295
150.00002786059596,22.02784558231478,PSF,0.142802,0.171728,0.19318,1.228224,-1.542219,1090.6718,429.10767,142.27547
150.0000281003434,21.70153229438134,PSF,0.001072,0.102859,0.413434,-1.790778,-0.595498,1323.3306,574.02856,173.44405
150.00002815652482,4.753887016566695,REX,0.709132,1.731377,2.133905,3.280256,1.983517,831.18805,191.16461,65.70224
150.00002832048483,-0.3206801273585025,PSF,1.432238,4.51295,9.022735,5.769679,9.530259,1127.833,386.94376,134.4124
150.00002840941784,-2.4698664750542463,REX,0.54682,0.907072,1.551664,2.317708,6.095505,860.2848,299.34613,73.756676
150.00002854803424,-3.054347187259757,REX,0.1859,0.239127,0.389587,0.959692,-1.51896,1411.3915,434.56607,108.83563
150.00002893687264,6.1794143441954725,REX,2.516397,9.321741,19.495615,22.82568,17.329836,871.12317,380.0313,71.504135
150.00002895691705,19.763396460220395,REX,0.477826,0.997565,2.20063,5.683066,3.056097,932.7711,287.19052,54.473244
150.00002906319932,-2.470713000020837,REX,0.194474,0.237743,0.436361,0.257854,-4.811177,997.3804,395.3346,97.92292
150.00002925393915,23.930309771316985,REX,-0.028891,0.036977,0.897323,-1.935913,0.80484,1049.5696,426.08093,56.225708
150.00003028179344,0.8957427418389396,REX,0.18468,0.484848,0.896964,4.3588,-1.089776,1465.0504,521.5465,85.16229
150.0000305056949,10.868055502278551,REX,0.456969,0.786169,1.88061,3.081144,0.524281,676.0107,245.02943,63.122746
150.00003059921607,-5.87626643507597,PSF,0.140989,0.212949,0.240541,0.914114,-1.959809,955.3097,645.79486,151.18588
150.000030852993,3.7637060099961994,REX,0.216525,0.165499,0.35105,-1.069682,-4.155183,763.3241,395.31046,68.048355
150.00003114532905,-1.494929981518935,REX,0.167097,0.320708,0.290965,2.845366,2.626062,1217.1865,360.4782,77.88724
150.00003119888146,7.176070560550835,PSF,0.213392,0.502372,0.529733,-0.597471,-1.877594,1574.0869,599.3387,134.82794
150.0000314791381,-3.74401130546594,EXP,0.2293,0.48183,1.040102,3.569876,-1.80894,839.7466,295.1106,87.09217
150.00003173381754,22.03986815129333,REX,0.463211,0.943493,1.427551,0.279906,-1.661519,699.33887,327.58948,103.328995
150.00003178520203,21.96268208968251,REX,0.460309,0.713481,1.443102,3.41923,0.055898,831.4931,305.80902,90.88135
150.00003203354788,19.90218662996894,REX,0.232263,0.391438,0.743788,1.608237,-1.089616,582.71564,169.16092,29.936468
150.00003212188292,-6.489013971034734,PSF,0.149385,0.131171,0.202577,1.237199,-1.962033,2369.765,1000.1151,251.93239
150.00003274152596,-16.374255965901718,EXP,1.086041,1.898929,2.958398,3.025264,-0.276854,210.38188,153.62622,13.00002
150.0000329647599,12.0776333640332,PSF,0.12652,0.398155,1.28628,3.123859,0.970041,1392.3711,546.92236,106.30208
150.00003319743763,12.198648716168805,REX,0.758867,2.558521,4.702883,6.090475,3.931997,959.1647,341.32196,70.82909
150.00003330472376,25.58952186825052,PSF,0.058071,0.155132,1.102996,4.038948,3.706263,1278.03,338.87335,71.97176
150.00003352611338,3.774262872440114,REX,0.235793,0.211954,0.44871,0.489659,-1.007747,635.6798,331.78934,50.122437
150.00003353643362,11.238598281059527,PSF,8.800502,11.864577,12.698033,2.424562,-1.075222,449.64105,159.85608,71.70773
150.0000336028907,16.998791574631777,PSF,0.285613,1.05332,3.877095,2.91715,2.266147,1781.4141,519.6521,131.99174
150.00003371424813,7.177084000551374,REX,0.278203,0.70852,0.812261,0.394904,-0.213583,984.7463,320.33783,63.378273
150.00003378803729,5.705011206214541,REX,0.353022,0.672579,0.619202,0.775774,5.095485,864.4144,186.22482,28.609537
150.00003398891957,-1.8576803425376816,PSF,0.888031,3.582286,19.151752,18.958529,15.805894,1573.8286,397.9684,43.558407
150.00003405753154,-8.876165528989768,REX,0.040347,0.19957,1.697003,12.140402,5.208899,445.01358,101.23377,21.086546
150.00003407445786,-5.454885705611211,REX,0.13545,0.156558,0.221432,1.003554,0.512044,1457.2168,678.3078,156.44421
150.00003417573075,6.469912705032844,REX,0.484708,0.771132,1.131505,3.835349,5.743823,995.2135,316.8006,41.20322
150.0000343900647,-3.25406819288598,REX,0.264491,1.290573,3.835283,11.588778,1.332958,1815.9814,479.83643,133.1391
150.00003453319383,-0.4311897983869108,PSF,0.130687,0.14973,0.229055,2.039252,0.784202,2294.8044,843.6065,175.43317
150.00003460968472,29.571618290688637,REX,0.357801,0.944561,0.949595,-0.252295,2.275414,1199.339,298.53122,54.498417
150.00003482090506,-8.786381711091826,EXP,0.804577,1.955517,3.955317,6.567975,3.764817,307.49924,68.83206,15.939089
150.00003576166924,-3.4975717323212505,PSF,0.010819,0.045614,0.574992,-0.427364,-3.120311,2492.6938,677.90295,166.34775
150.00003587401517,15.739415432470826,REX,0.298231,0.606951,1.325741,3.913854,1.121953,1102.5822,402.52124,42.818325
150.00003611284163,12.583892699651054,REX,0.415372,0.619126,1.053148,1.484008,3.874369,252.80788,113.82745,21.968538
150.00003691134782,19.544305547596764,PSF,0.173725,0.335368,0.438122,1.167107,-0.423732,1246.4628,525.88983,119.809586
150.00003715968083,12.16653701476959,EXP,4.413559,9.232326,15.490799,17.911829,16.397036,369.17517,134.2406,29.822649
150.00003763403598,25.036436011626165,REX,0.315462,0.468022,0.887931,1.352167,2.513076,1107.7614,263.7602,50.41912
150.00003809343156,0.1921058521914899,REX,0.400204,0.630508,0.702569,-1.132862,-3.201035,884.1213,341.80368,61.411037
150.00003819975845,-1.805220213389308,PSF,0.025714,0.074851,0.81009,-2.014318,-1.490151,1275.986,424.0896,87.32082
150.00003863320484,8.25417094635601,PSF,0.462369,1.631546,3.996952,2.251481,-2.386014,1197.1641,433.71683,104.12781
150.0000387078416,21.14519082461935,PSF,0.131228,0.189268,0.194571,1.245113,-0.270315,1007.099,397.6599,93.38955
150.00003911727126,27.65367769488158,REX,2.146913,3.518573,4.947875,4.678819,3.756809,1309.4705,439.6148,101.31886
150.00003989887446,-3.199424902227165,REX,0.281281,0.383604,0.919507,0.851998,1.709584,807.01843,264.11798,52.650673
150.00003994554723,-20.21856475491657,DEV,0.0,0.0,16.732773,28.096107,13.852812,0.0,0.0,11.341178
150.0000400827532,-7.168592360356831,EXP,0.6581,1.305886,1.775347,2.511863,0.46468,421.41867,152.1987,22.137049
150.00004018098443,6.651099218945887,PSF,0.156665,0.235881,0.446557,-2.113545,-0.051778,1643.4036,613.5697,70.81038
150.00004041175194,29.561217092190336,PSF,0.112193,0.243787,0.26631,1.68235,-1.247312,1624.9059,423.42346,81.73287
150.0000407414674,13.03650293723994,REX,0.281797,0.44106,0.746649,1.431205,0.905899,995.92804,277.20966,61.689877
150.00004100852422,9.004422510703936,EXP,0.265054,0.41533,0.824034,-0.069209,0.504171,1523.1667,458.75623,70.884125
150.00004104217794,13.162158242196424,REX,0.450665,0.909273,0.681795,4.728829,7.867013,280.6233,81.70261,13.143154
150.0000410616478,10.403420094194676,DEV,0.582281,1.208872,3.057486,22.530697,26.212482,349.30554,151.28363,26.22297
150.00004106806034,-24.344157832184106,PSF,0.0,0.0,1.514227,2.927476,1.099875,0.0,0.0,32.900105
150.0000413318606,-4.695482795660123,REX,0.078574,0.279993,0.091812,-1.014722,-0.383566,1352.8157,489.7616,125.209946
150.00004133645513,15.328622204939975,EXP,1.859199,5.639482,12.032829,23.930487,25.680597,261.4186,169.69994,17.391973
150.00004143860284,0.507810791337489,PSF,0.10375,0.233468,0.252102,0.953533,2.205976,1517.6497,623.0056,153.29472
150.00004182593074,6.399550883793134,PSF,0.3774,0.384455,0.796579,-0.929523,2.452751,1650.3514,615.4368,70.26303
150.00004310100928,10.304234886726457,EXP,0.312228,0.928622,2.034833,3.167387,0.245267,440.90448,160.95229,25.981169
150.00004314915586,7.484004712379312,PSF,0.136396,0.14636,0.102587,1.509718,-0.011213,1292.5947,495.80432,109.88997
150.00004320765171,-5.366917652584867,EXP,21.39815,32.041,43.510643,42.606136,35.70446,189.45497,93.05015,41.350075
150.00004403543008,5.19626994633622,PSF,0.084092,0.158302,0.462782,2.355385,1.915247,1223.7058,336.1862,125.01579
150.0000443360263,-5.557649573509638,REX,0.278986,0.523082,0.365542,-0.73799,-1.589099,1216.012,559.17523,137.89209
150.00004443465133,8.738840452111406,REX,0.38627,1.578654,4.854005,16.573269,9.430804,992.4334,379.53317,51.438507
150.00004470749622,0.769217405284906,REX,0.429165,0.54985,0.513309,-3.258796,-7.360636,771.90906,252.00005,48.240128
150.00004480491313,4.841631279317132,REX,-0.002464,0.061684,1.014215,9.688022,4.854784,976.66077,376.96863,92.05267
150.00004511178363,-20.63547548084016,REX,0.0,0.0,8.695326,5.450529,-1.287623,0.0,0.0,3.686017
150.0000451534531,-3.978400585204294,PSF,0.140046,0.12511,0.06938,-1.238741,-1.10938,2225.7898,944.8605,234.97343
150.00004569001547,-17.42145475279432,PSF,3.047334,7.908123,13.231822,7.137206,2.10018,288.7361,187.58972,28.60555
150.00004574883607,5.331729881912663,PSF,0.718658,1.613099,2.839445,7.988847,9.072598,935.4435,419.99908,135.14763
150.0000457922808,8.846855909983853,PSF,0.089125,0.152084,0.266597,1.134576,0.844521,2616.2515,795.43964,129.04141
150.00004590259604,-2.13183699765826,PSF,0.083204,0.273027,0.379837,0.572337,1.585006,1231.4708,411.07068,91.07637
150.0000460949427,20.568337358749183,PSF,0.173217,0.496425,1.003157,2.752078,-0.371538,1239.7007,469.7925,94.9039
150.00004622635225,1.048329268978005,REX,0.114457,0.421191,0.732533,2.44267,1.738901,824.17914,277.72998,42.00936
150.00004633124135,-22.98626344613757,REX,0.0,0.0,2.673631,4.376871,2.189548,0.0,0.0,18.816978
150.0000464457041,18.25644390826957,REX,0.195783,0.977384,3.86135,12.439613,5.644832,902.88336,554.46765,64.660225
150.00004705990483,-26.898263119493937,REX,0.0,0.0,2.165437,10.754054,7.661092,0.0,0.0,31.040659
150.00004719371333,-28.27388287723741,REX,0.0,0.0,1.671116,17.062572,10.966774,0.0,0.0,53.93664
150.00004763132884,10.83155020819527,REX,0.042018,0.23316,0.652212,1.544478,3.075669,1108.1997,360.85028,82.711105
150.00004829851002,22.406196470742994,PSF,0.120417,0.160955,0.321276,1.030475,0.067097,1383.0159,566.7047,165.89375
150.00004846476276,10.378927988945335,REX,0.369172,0.722572,0.971486,2.202964,-0.456893,1209.0137,376.2042,84.75063
150.00004860957907,16.05709588745559,REX,0.160865,0.444414,0.954655,-0.124796,1.778627,756.39136,243.98364,30.860395
150.0000492857758,6.594496436924124,REX,0.063625,0.251504,1.18045,6.574313,3.323937,1045.1531,344.48315,37.841408
150.00004931686692,24.144496259645678,PSF,0.145114,0.298703,0.738669,-0.801088,-0.639753,1528.4667,515.7338,84.00282
150.0000495604816,9.983760426422196,REX,0.448845,1.78807,3.758577,2.261034,0.189058,1076.9099,375.5254,66.98889
150.00004994219745,12.88049257726016,REX,0.184014,0.367143,1.899216,11.894163,9.469172,446.97214,150.85013,24.843906
150.00005009384392,-6.137805035868457,PSF,0.030806,0.147137,1.590412,2.668055,1.490491,1019.59686,638.73096,144.40152
150.00005038461805,25.51460462669482,PSF,0.110166,0.255976,0.201153,0.177551,1.007667,1882.5374,518.0763,127.293564
150.00005119697676,21.418168393694845,REX,0.378883,0.653027,0.589014,-0.031881,1.546077,723.2837,263.6687,73.29851
150.00005178665867,22.68674220341741,REX,0.382154,0.535725,1.306651,0.054882,2.30254,726.492,264.09647,41.857735
150.00005181669331,-5.463602763057202,REX,0.620595,1.572675,2.020036,2.803105,1.616583,620.87415,251.29022,65.2512
150.00005196448623,-3.693683908146242,DEV,1.882759,4.258932,6.432567,4.777553,6.222604,377.94006,119.53883,33.735474
150.00005290202174,-1.5449626565743055,EXP,0.933891,2.129633,3.212846,1.783038,0.885385,839.2761,232.62546,53.754856
150.0000534778206,-7.877249147523858,PSF,0.125711,0.169055,0.149872,1.004334,-0.613076,1860.18,676.24786,115.8842
150.0000550260876,9.417040527532215,REX,0.257612,0.458782,0.976265,-2.236274,1.813621,1628.3367,491.72842,78.46987
