ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
179.00000598210954,0.6827551874149681,REX,1.621692,2.889884,4.208197,2.708699,-1.08145,723.7097,278.50418,68.66838
179.0000077098221,0.7818692494268584,REX,0.15,0.265647,0.589251,3.392783,-3.614234,1036.4858,402.94812,93.84735
179.0000089566019,-0.737819985097265,REX,0.157738,0.352316,0.293602,-0.122708,0.014773,761.8107,296.6326,82.121994
179.00001705159008,0.7052303739642023,PSF,0.105311,0.147878,0.410859,0.095343,-1.131312,1613.8086,704.33887,175.13495
179.00001788188405,-0.768375167800304,PSF,0.078422,0.092181,0.309334,0.658965,-2.702928,2012.8962,886.96246,252.97266
179.00002952459366,-0.7178511729120849,PSF,0.035574,0.125127,1.066585,0.882871,-1.119489,2014.9585,871.212,225.32803
179.0000516763757,-0.69463958462337,REX,0.432174,0.994556,4.039019,17.245687,15.677307,1075.7816,420.87057,120.69857
179.00005408266884,0.4333387415569468,PSF,0.0078,0.143763,0.509988,-1.241441,-0.986035,1373.405,487.9549,172.84787
179.00005852674184,-0.5760538720101686,REX,93.830246,160.15611,234.29178,183.62672,118.38475,58.554497,24.584692,11.452061
179.0000632284396,-0.7342520512699457,PSF,0.060325,0.133431,0.400398,1.669071,-5.138888,1700.3254,698.68634,187.4035
179.00007184294563,-0.0577835362223081,REX,0.096879,0.220971,0.833179,4.113743,1.536491,721.34875,238.66763,84.82935
179.00007447404366,-0.6045964107706895,REX,0.17366,0.173643,0.505496,-2.074977,-1.207338,1203.8623,477.76807,134.91931
179.00007569483657,-0.8660763631173092,REX,0.386856,0.453986,0.379838,2.291607,2.434047,298.56265,171.47424,37.189365
179.00007863459803,0.3735906155091462,PSF,0.032793,0.204915,0.169753,-3.75075,4.278319,1625.309,634.76074,217.06027
179.00008631538677,0.6732315516445205,REX,0.155885,0.205101,0.351605,1.903786,5.227166,1348.929,562.10657,133.2489
179.00009008841366,0.3017478026276789,PSF,4.183694,11.65451,19.739403,7.906084,3.151189,1056.6475,317.94275,176.8343
179.0001005572511,-0.47362710097326,SER,7.568927,28.442593,58.93231,72.36569,51.94789,305.9186,79.44202,42.35331
179.0001122520899,-0.4078760611576023,PSF,61.924706,228.7224,585.9507,358.0866,200.64145,105.86699,15.233292,8.34571
179.0001255217255,0.5580546538285865,PSF,0.280225,0.538779,0.695661,0.844279,0.301434,1529.623,669.8047,168.72357
179.0001270587418,0.0021982359984439,REX,1.017462,1.717825,2.920424,2.082292,-0.302565,186.95093,53.342857,25.45172
179.0001318182609,-0.9990637423414224,REX,0.236254,0.254926,0.112286,-2.816061,-2.56248,799.3205,378.3539,72.57757
179.00013590195425,0.934877040896258,REX,0.263784,0.952227,3.784934,12.62396,5.068126,462.50208,151.69122,31.401438
179.00015529968127,-0.8934625961760434,REX,0.126988,0.163697,0.558531,2.113156,1.196962,496.55157,322.9258,91.555145
179.00015542283813,-0.1125483883532365,PSF,0.152012,0.148669,0.489591,2.18333,-0.187384,1371.6542,508.70966,179.9676
179.0001555717488,0.253906776286616,REX,0.695386,1.072732,6.206851,16.468876,14.597858,44.334778,9.967556,5.820649
179.00015989933974,0.3259186234253652,REX,0.246995,0.457291,1.190815,5.191656,5.731588,737.879,217.60431,82.18611
179.00016396639137,-0.8941936515255693,REX,0.292547,0.39487,1.085082,0.498394,-0.715305,455.0758,292.1283,66.28013
179.0001849994448,-0.7339000315483315,PSF,0.185897,0.104162,0.352153,6.591116,16.8596,1658.6646,697.29517,199.52866
179.0001919620942,0.0192112428498978,EXP,4.109621,9.485763,17.017181,22.120325,17.671087,525.25574,169.20053,76.66663
179.00019222442387,-0.4056613440024933,REX,0.174174,0.372546,1.914508,7.455787,2.326089,581.94885,139.49309,57.215504
179.0002091965012,-0.5658811306157346,REX,0.234003,0.71145,1.166096,1.386218,3.560091,675.9523,231.14882,84.9062
179.00021154075574,-0.9399095712625868,REX,0.083379,0.21818,0.223356,4.047898,1.266837,1058.269,488.0895,97.45741
179.00021754886336,0.0160428307068737,PSF,0.078493,0.232288,0.115145,-1.466506,-1.256727,1417.154,494.2033,176.78088
179.00022077996942,-0.3893212866921608,PSF,0.18328,0.136103,0.418925,-0.728768,0.783415,1481.4598,513.22186,183.68356
